00002b21,0000684b,00005584,00000ab4
00005b80,000061d6,00002f32,00007af5
000029b9,00002689,00003d8b,00002877
00007a46,00005242,00006fba,000031c1
00006528,0000442b,000071fc,00000ad9
000023a7,000079aa,000038c4,000000e9
000060ec,0000670a,00006548,0000034e
000052a0,00003008,000066af,00005f56
00001544,00003e92,000056ce,0000383c
0000162e,000043e4,00000a99,000074bf
00006755,00002e56,00003e91,00002372
00002008,00006421,00004a2c,0000754e
00003246,000058a7,000039f1,00002a7f
00001879,00005b7b,00000bbc,00001e53
00001650,00001978,000005cd,00000758
00006c53,0000497f,00001510,000030c2
00001456,00001ced,00002813,000021e4
000006dc,000015b5,000011a2,00007a46
0000388b,00002d8d,000059dc,000004ca
00006f7c,0000278f,000010c8,00002977
00002cb7,00003902,00006b67,00001087
000063f3,00003fc7,00007203,0000039c
00001ebc,00004ad9,00006fb2,000069ea
00003431,00000915,00003156,00004e75
0000151e,0000610c,0000155d,000002c3
000000c0,000022d4,00006902,00000f02
00007b93,00007670,000038f0,00004439
000031f1,000034b1,000000fa,00004976
00001ddb,00001744,000018a3,0000761c
00003600,000002ac,00005ce2,00000d8e
00006d1d,00000e71,00001407,00005f63
00000aaf,00002358,00000efd,00003bee
0000258c,00002db7,00003e3b,0000069b
000017c2,00005971,000049f4,0000490a
000060b0,000005a8,000012b7,00006fff
00000028,00005e96,000016cc,00004a98
0000791d,00002c35,00007e30,00002754
0000072f,00000984,000045ed,00006138
00001598,00004778,00006fc2,000006c1
00002210,0000519a,00003e25,000027ff
00003d91,00001461,00004f46,000067ce
00001b7d,00001928,00002478,00001b6f
000066ae,0000073d,00005656,00004823
00006a6f,00003756,0000022c,000012e6
000066ca,00005ff4,0000191e,000073ae
00003bcb,00003fc6,00006967,0000021a
0000527e,000055ef,00003c67,00003c06
00001dcf,0000439d,00001bef,000042d9
00000057,00000df4,00002e21,000020e6
00004ac1,00001451,000072dd,00002173
00001377,000026be,00004a62,00006468
00004786,00004d94,00005b92,00005ec7
00006015,00002748,000067ae,00001da7
00003481,000072c5,00004995,0000616f
00006754,00002967,00004587,00001d37
00003d1c,00002388,00005d06,000021bd
00005196,000067c0,00001137,00002e2f
00002d5a,000048d6,00001da0,000021b8
0000440c,0000347e,00003c1e,00006b71
00005c14,00007210,0000285e,00007a21
000073c0,00003e9b,00000cde,00003f60
00002cee,00005360,000076d3,00006ccc
000000f7,00007a4a,000005e3,000001ad
000002b9,000057f5,0000357d,0000597d
00006374,000074e7,00000726,00000a78
00003a9b,00007aab,00002b8c,000058d2
000078a4,00002c87,0000310e,00006027
00006fd7,00006f7a,0000725c,00004ab5
000018fd,00006939,00004e09,00004d89
000052b9,000048af,00005af7,00004407
00005fb2,000023bf,00003592,000001d6
00005b78,00006447,00002bea,00001556
00001441,00003149,00001c25,0000133c
00002022,00004707,0000578c,000071b0
000002ee,00003c3b,00007e6e,00000a3b
00004178,00003330,000072a8,00006bb1
00005e4d,00001bec,000050fa,000077b9
00007dfe,00004cd9,00006242,00006d05
00001ad4,0000315c,00001767,0000502a
00002cc7,00006189,00005f70,00006dab
00001633,00005555,00002258,000044fa
000068ea,0000535b,000071a8,0000024d
00004aad,00007481,000007cd,00000e60
00006407,00004f70,00004ded,0000607f
0000522c,00002981,00006297,00007151
0000732d,000030a5,00003bc7,00005dec
00005d62,000058cc,00007b35,000002d1
00005dfd,00000906,000027df,00001fd0
00005918,000055e1,00003a46,00005a5c
000005f3,00002d16,0000088f,000015db
00000da0,00002f2a,00005ea9,00002b28
000065b3,00000189,000055b8,000009dc
0000629d,00004278,000042a7,00007fb4
00003221,0000462d,00000bfd,000016f7
00003d5e,00002ba0,00000e93,00005f9f
000028c9,000072bf,0000151a,00003412
000038b9,00000148,000046b2,0000427c
000007a1,0000696f,000025bc,00006626
00007755,00006765,0000050c,00007eae
000015af,0000296d,0000576f,00002326
00005353,00003877,00004c39,00004ed0
0000202c,00001cf2,000042e1,00002eb6
0000708c,00001143,00000c80,0000036b
0000406e,00003592,000065b1,00004289
0000057c,000033fb,00000c4c,000002a4
00007829,0000694b,00005882,00004d4b
00001bcf,000013d3,0000173a,0000495f
00007c3a,00007058,00006ad9,00007e1d
0000788e,000032bf,000059ed,00003bbe
000039df,00007ef1,00001b60,0000563d
00000e87,000043a1,00006569,000028c9
00001d9a,00000e59,00006525,000026b4
00000656,000037b8,0000291a,00003b7f
000077e8,00007fe3,000055e1,00007f56
00004bdb,000035b3,00006777,00000d33
00005fc4,00001cef,00007f77,00001ada
00006cd7,00005e79,00004e13,000079dc
00006145,00002839,000021d5,00000e3b
00006aed,0000451e,0000714c,000034cb
00003553,000049c3,000016a2,0000175e
00007362,00007923,00005628,000000ef
0000169b,00005087,000063fd,0000046d
00002c38,00000a07,000034e7,00006a27
000059ab,00006fd6,00006e12,00003592
00003092,00004c32,00002e82,0000128a
00000048,00001830,00004b54,0000218e
0000544f,0000090e,000031d3,0000787c
00001b11,00003a8e,00004857,00005df9
00001063,000063e5,00000857,00002b64
000052cc,00003d6c,00004f7c,00004c99
000042e6,000061a2,00007505,00004ef7
00001e7a,00003948,00007f7e,00006470
000073f3,000012ed,0000155c,00000ea3
0000077a,000073ca,000073b9,00007193
00002479,00000367,000053c6,00005805
000019ba,00004973,00003dc0,00002d57
00007acf,0000545b,00000fac,00001194
00005006,00001f85,0000136e,00003ab6
0000156d,00003af7,00006259,00005137
000017d5,00002105,00000db3,000054ec
000004a3,000003cf,000014be,00006ff4
00006283,0000708d,000027ec,000072b0
00003fa7,0000414e,000032bc,00002102
000009f0,00000d7b,00005bc6,00006465
0000698d,00003b46,00006b17,00000bcd
000000fa,0000395f,00006cd3,00004aec
00007017,00006c94,00002741,00000773
00001d21,0000322b,00001007,00004390
00006ba9,00002af3,000005cb,00004aaa
00004448,00002142,0000045d,00007700
00007bab,00004d3a,000079d0,0000647c
0000548e,0000626a,00004ebc,000002fd
00001ef0,00003f2a,00002628,00007d84
00007560,00005676,00007626,00000198
00002a1d,0000698c,00006732,00004452
00003fad,00005d8e,00007767,00002c83
00006bfe,00002cb4,0000725f,0000754a
0000343a,00004a26,00006e7a,00003128
00005e0a,0000581c,00004393,00001f8d
00002527,000073a6,000024b7,00007862
00002eff,00007200,00003a8e,000064a2
000071eb,00000981,00005822,00003678
0000184a,00004c00,000035ab,000035aa
00007068,000006b9,000078a0,00004021
000036ef,00000e0b,000032f2,00005bf6
0000338a,00003b47,00004bdd,000008cd
00003746,00004688,00000f2a,000068c0
000075f1,00005fa6,000041e0,00004cd8
000025ed,000031bc,00002be5,00006996
00001442,000018ed,000012e8,000009b8
00002b51,00007492,000047a5,00000024
00007529,00002add,00003f38,00002fa1
00003d5c,00002f3d,0000182c,000002bf
00002c88,000041ad,00000bdb,00003b45
0000380e,00006fb3,00001ebc,00007ec3
00001cdd,00005ad2,00000301,00006af9
00001861,00001e0b,000042c1,000042a5
00004669,000031db,00004368,00007a04
000005ea,00003aba,00005678,00002c4d
0000645e,000072b4,00002055,00006bc2
00000383,00002eae,0000007a,00005478
000034e7,00002910,00003d57,00004a16
00002401,000078d4,00007df6,00007a5f
000009e8,000003ed,000043fe,0000649b
00006135,00002764,00005436,00003aa8
000073d3,00005caa,00005dd4,00004f0c
0000034b,0000100e,000079b6,000061d5
000067a0,00003881,000056a1,00006240
0000365e,00002334,00001b94,00002e69
00002817,00006512,0000517c,00005c1c
00004eeb,00001852,00004a5b,000001ea
00003805,00001695,00001b27,00001294
00001483,00003dcc,00003cd1,00007f69
0000175a,0000592b,0000276c,00007e1d
00001be4,000033d6,00005b7e,00004b58
00006d08,000077c2,00000781,00001706
00004545,00006d67,0000515d,00007cfd
000019fd,000044ee,00000df6,000061cd
000072a7,00006926,00007ca8,000067b0
0000677d,00006bb3,00005e8a,00003e1a
0000508c,00000353,00003034,00002113
00001edd,000038dd,00003217,00004e31
00007140,00006951,00000bf2,000019c2
00000e04,00003e89,000036a6,00005de2
000026ce,00003a19,00006ebc,00004fa8
00003897,00005ceb,00005cb1,00000858
00004a79,00005e85,000006e3,00005dfb
00007c7a,00006316,00002a47,00006861
000042b9,00006347,00001b3a,0000646a
00002f71,00003083,00004c90,000043e5
00002f6b,00007c45,00006532,00003e15
00002569,000012a1,000002c7,00006415
000066aa,00002201,00007b4d,00006daa
00003f47,00000a56,00004bf4,00001fa4
00002369,00002ae2,00002ec6,00002553
000034ab,000063b0,00001e21,00006ad0
00004db2,00001fd1,00007304,000031d6
00003cbd,00003b19,00005595,00000d21
000005ce,00002bfa,0000430f,00001b83
00007601,00001853,00001dcf,000057e1
00007d32,00002d30,00005a34,000057f9
000043b9,00004e25,000056cf,00003d03
000059fc,00003978,00006cf2,00005b90
00005b4c,00003ada,00002fb2,00003e01
00001293,000054fa,00002523,00001989
00000351,000017e9,00006fa0,00000a44
00001daa,000016a9,00001ccb,000027ae
00006186,00001a37,000037d0,000007a2
0000216a,00007e47,000072b4,00005f1d
00001281,0000306e,00004545,00000564
00006489,0000159d,00002d7c,00002fb2
0000733d,00003756,00007754,00007ac4
00007446,00006543,00004be5,0000111b
00003f07,0000539a,00003acd,00004c86
0000137f,00001145,00006862,00000171
000073b6,00007f2f,0000395c,00006190
00000850,00003a0c,00003633,000075d3
00000088,00007de8,000021d4,00000b70
00005694,000053f1,000062c9,00005395
00005366,00005b2a,000000fb,00001d9b
000001b3,00005682,000012e1,00002e16
00001ad1,00006bf9,00003e6c,00003f88
00003f10,0000286d,00003db4,00001ea5
00001a82,00002c8d,00002aa7,00001519
00003c1c,00003df6,0000701a,00007fd1
00005a99,00000f83,000030c6,000053d7
00007abc,00003799,00003509,00007b29
00006a3d,0000382c,00005247,00004f38
0000542a,00006184,00003fb5,00007b35
00007e43,00005388,00001be9,00002ff8
000023d7,00003b17,000039d6,000025a2
00006c53,000040b6,00005383,00000bf0
00004d73,0000201d,00003d5e,000003f0
00001805,000010e2,00007fb2,0000728b
000013f5,000072e6,00001df4,00000baf
0000655a,000052fe,00003621,00000b4c
00005be6,000069f6,000067d6,000077c2
00002ecb,00002ebd,00006d3b,0000511c
00002df8,000052e6,00005880,00007637
0000077e,00006476,00005389,000059db
0000603f,00000894,00003f3f,00002272
00004040,000032f0,00000047,00007c9e
00006265,00004f0e,0000437d,000024f4
000074e6,000017d0,00002b4d,00007e2e
00001624,00005972,00000756,0000391e
00000c2f,00000750,00002efb,00001c50
00002362,00003406,000062e8,00003d31
00007165,000062be,00007d1d,00003fe5
00002017,000048e8,0000278b,00007786
00000568,00007595,00005118,000008b2
00000241,00003e76,00001b91,00003d01
000015ac,000059b9,00003355,0000268b
00004ac7,000044aa,00001044,00003e5c
000045b6,00006b54,00007b84,0000290e
00000cb1,0000673f,00000ea7,000017f4
000061ce,0000413f,00001aec,000026d7
00004ad4,0000613f,0000634b,000010c4
00001a3d,00000044,00004f81,000056a5
000052f5,0000247f,0000667a,00005ac1
0000090b,0000699f,00002700,0000422f
000029b5,000046be,00007f86,000077c3
0000013b,00002b5f,000011e1,000063cf
00003c1d,000026c7,00005ab0,00006d5a
00004e39,000043e3,00005670,000079bf
00004541,00006975,00001f3c,00004a55
00004431,00003107,000075ae,0000702e
00006336,000059f7,000037b2,000025f0
00005336,000067c3,00003a75,00006b66
00005042,0000409a,00002fa0,00007e81
00007f65,00003a61,00005894,00003d29
00006cbe,00002513,0000050f,00005297
0000623c,00000763,0000734e,00007e81
00007f80,00007e9a,00002aaf,000037e9
000021a5,000068ab,000055ea,00003023
00003e30,00002670,000020d0,00002a37
00002419,000069b1,00002c05,00000599
00003e55,00001a8c,00003c10,00007c92
0000025d,00001892,00004b91,00000cea
00005352,000049be,000007c0,00000d48
0000010b,0000777e,00003f16,000017c5
000077c2,00006ace,00003f50,000004e3
00001408,00003aa4,0000395e,00003160
00005bee,00000a11,00000f7f,00001d37
00005f7d,00006f3a,0000368f,ffffffff
000074a4,0000507e,00002366,00007ee6
000015cf,00005397,0000680e,00007997
0000071f,00001a3d,00007d96,00007dce
00002242,00003396,00002a5b,00003762
000052e2,00005d2d,00002bef,00007df0
000029d4,00000afa,00001b42,00000ac5
00004546,0000387d,00003040,000047c4
00003529,00003725,0000084f,000002c5
00000fa7,000069bd,0000424e,000022de
00002219,00001729,00005dda,00006cdc
00001e9b,000005ed,000024f1,0000452d
000050db,000072b4,00007528,00006cc5
00007f59,00006652,00005e91,0000089f
00002101,00004492,00001e83,00000266
000029e9,000004af,00005104,000062f3
00000bc7,0000219c,00007bc7,00001345
000009ba,0000748e,00005ff9,00005351
000030b2,00005db5,0000338a,00006638
00003782,0000413d,000042d0,0000433a
000066dc,000003df,000037d5,00002662
00001c02,00000cae,00003dc6,00005296
00004154,0000160b,00002be5,00002c30
0000535a,00004e0d,00003614,000060c5
00002d8c,0000473b,000037a7,00007574
00001538,00003ee8,000040d2,0000145e
00007b9d,00000535,00004517,000078e1
0000710f,00003788,00006c0f,00004a25
000027df,00007e2c,00001ab6,00003636
00003545,000048e5,00004316,00004a6b
00000d0b,00001f2f,00001351,000060d6
000005e3,00003138,00007a66,000071df
0000580b,00003df9,00003452,00000599
00006ff1,00004059,00006780,000022ef
0000276d,00004ba2,000039ad,00004faf
00004c1a,00005149,000070ed,00007be7
00005d30,00002cf5,00001c36,000071ed
00005d53,000018c9,0000562a,00001240
00005589,00005037,00007428,00001d5f
00007f56,00003528,00003f0d,00001047
00003670,00000099,00004aa9,00000112
00004224,0000162b,00003813,000028a0
000052f6,00007ffd,00005108,000006f6
0000750a,00007147,000051a4,00003644
00001a63,0000002f,0000707c,0000550f
000001ea,000009fa,00002416,0000040e
00004a28,0000103c,00005ad9,00005f3c
00006e04,000020a8,000057ce,00004c59
000052b7,000035cc,00001ce3,00001b11
00002f54,0000147b,00002997,00004945
0000020a,000005b8,000038d6,00003103
00006dc3,00003a1e,00004213,00006a0d
00003172,00003ae7,0000666f,00003fb6
00007a29,00006236,00006a73,00004468
00005215,000004d8,00005631,000055c6
0000115b,0000600d,000050fd,00003eaf
00001942,000037f0,00002212,00003d0a
00000943,0000009d,00001c5a,00001749
000052b9,00003d33,000015cd,00005f82
00001eef,00002018,00007929,00005d73
000053ef,00003123,0000541b,00000547
00006281,0000567b,000077a2,00007c97
000005f4,0000637d,000030b1,00001fd5
00007890,00002a37,000046b9,0000126c
000060c9,00007138,000021ab,00004949
00006b29,000049b2,00001839,0000016d
00000106,00006f15,00006260,00006150
0000572f,00007900,000039f9,000041da
000053f0,00006fc5,0000391b,00003439
00003cf6,00004eb3,000064da,00005223
00001e2f,0000489a,00004747,00001dc9
00005282,00001ecd,00003139,00003c4c
00000a7c,000073cb,00004edf,00006dfc
00002c60,00005c8a,000050f1,00002c25
00005551,00003826,00001e8a,00001859
000046e7,0000342d,00005776,0000506d
000069ff,0000333c,00004826,000007ea
00004cca,000068cd,00001719,00005729
000025ec,00002312,000047b2,00004c4b
0000156f,00001158,00005ee1,000071c4
000022d2,00005283,000015c0,0000434e
00006641,00003246,00005295,000005cf
000044eb,0000453e,00005e96,00004ed9
000074d4,00001326,00000a1b,00007e12
00002d16,00004c76,00005485,00002de9
00003a09,00007675,00003212,00003895
00007967,00000df0,00001a3c,0000477d
000046da,000007b7,00006efb,00002ebc
00003932,000008fe,00000f72,00007467
000071b2,00006267,00005156,000067c7
00001165,000066af,00002f3c,00005853
00003e7f,00004fdf,000025c3,000051ab
00003f2b,00006a0c,00000fa6,0000081d
00001bc0,00002012,00005e5f,000008c3
00007097,000050cf,000016b4,00000aa8
00004369,00002c34,0000673e,00003f5d
000049e2,00004af5,000065ca,000016b7
00005e73,00003479,00004415,0000437d
00005ef8,00005c9a,00007e03,00005065
0000038a,00000122,00004ce6,0000270a
00001f96,000069ca,0000320b,00004931
00007d64,0000518a,00007441,0000293b
00007f5e,00006d62,00000521,00004056
0000470c,00003047,00007038,00005da0
0000587e,000034f5,00005614,00003f2e
00002a29,00002b48,0000654d,00005665
0000076a,00001995,0000671f,00006085
000029ff,00001d52,00000fa9,0000796b
000053c0,00007000,00000a59,000014d7
00006363,000055cb,000033dc,000003d6
00002c60,00006e27,00004d1c,000044ae
0000321f,00007d11,00007f4b,00007811
00005255,00005df2,00002516,000046fe
00006b40,0000108a,00004176,000032a0
000062cb,00000d80,0000368c,00003a38
00004a8a,00004c24,00002979,00007219
0000673e,00004c6c,000003d7,0000587b
0000218d,00000a1f,00001242,00006393
00004ba0,000069c7,00004743,000011f2
000074d7,00002ff1,000016a1,00004499
00000316,00005572,00007b70,00004dad
00000628,0000483f,00004d0d,00007eae
00004299,000062fc,00003fc1,00003f38
00006786,00001377,00002ea3,00002f54
000036ac,00004f84,00003a04,00001f3f
000046de,0000568b,00002fc9,0000796b
00002c80,00004c97,00004ef6,00004532
00002af8,00005bea,00003459,000026a2
00004c72,000023f7,00005a9a,000005ae
00006abf,000071ef,00003968,00001f8e
0000003f,0000790f,00006028,000078dc
00007acb,000002ac,0000485f,00003b4a
00000388,000035d0,00004aeb,00002c53
0000425c,00005324,00002faf,00005c7d
00003802,00006446,0000098c,000078c4
000010e1,00002d8b,000006e5,0000366b
0000188d,000063b3,000077db,00007203
00005a3a,00003edf,000047f4,00003226
000002b1,0000688f,000031f1,0000356f
0000785c,00001e93,00005fd5,00002eeb
00001de1,000031ce,00006afc,0000348a
000033f8,00006a8c,00003db1,00007605
0000540a,00004007,00000c4a,00004b31
00003690,000037e1,00007fb5,00005bb4
00006e0e,000067ab,00002f9d,000072a3
00005ceb,00006bcd,000071a3,0000698d
000004e7,00005457,0000154a,00003e11
00002c64,00000401,00000ec2,00007275
00000547,00005d71,00002855,000022e2
00000fe0,00007bd5,000036e0,00005364
00004d24,00005142,00004653,000075b6
000022c2,00001d5c,00000191,0000627e
000010c8,000078d9,0000117b,00005521
00007196,00002de0,00004670,00007ee9
000051e9,000014e0,000048fd,00005919
00001904,00004ff0,00003673,0000136f
0000320e,0000566f,00000f72,00000c1d
00006a74,00003ec4,00006c90,00002c87
000069c1,00002014,00002289,00004ca6
00001fde,000014e6,000034e0,000001a9
00003b1d,00001840,00001785,000020e5
00007f05,0000578b,00000393,000022d8
000008c3,00001bda,00004363,000054a3
00004971,00007661,00003b9d,00002d65
00006890,00006628,000063c1,00000b09
00006c74,00004907,00001ec0,00000843
00002a40,00003ddc,000063b5,00003490
0000445a,000067de,00006adf,00005ca6
000012df,000035c5,0000238c,00002afa
000058ce,00005213,00001b51,000034b1
000054ba,00007501,00003ece,00003d30
000060c7,0000503d,0000401a,00001a02
000046fb,0000649c,00007f3a,000011db
000040e6,0000462e,000068f0,0000514b
00001b1f,000015c4,00003095,000055fa
00003c95,00003e7a,00006970,000000ee
00001a81,00007219,0000597d,00005c2b
00000703,0000367d,00005493,00006310
00001239,00003c7e,00006006,0000654a
00007c8b,0000146e,00001e0e,00004f8c
000018a6,00005396,0000255c,00000298
000065af,0000185d,00002a4c,00004b08
00003998,0000358e,00006651,0000609b
0000661b,00007031,00003eab,00006c99
00002321,00001ecf,000071d0,00004a59
00003475,0000266b,00005357,00002255
00002975,00001443,00003ab6,00001afa
00006015,0000596d,000042c6,00001870
00005597,0000176d,00003bc0,00002915
00007aeb,00004b0b,000020f2,00006119
000004f3,00002b50,00006c49,00007100
000037fc,000034d4,00004664,0000499b
00007793,00007ea6,000019a4,0000672f
00002614,00007a52,00006c87,00005562
00002026,00000fa9,00005bf7,00004653
0000561e,00005848,0000099b,00003594
00005307,00006a70,000017fc,00005d9f
00005a96,00007738,00006b0c,000004b8
00000a4b,00001493,000057db,0000405a
00007867,00005c7d,0000356a,000025b8
0000284c,00000e91,000014a2,00003c36
00007955,000079e1,00005372,000061ae
00004fa9,00000e30,000008af,000012ae
00001f62,0000288e,00005e37,00002c2e
00006e51,00007005,00001d7d,00000223
000050f0,00000bf3,00005875,00001c8d
00007136,00004a04,00006afe,000053b9
00001808,000018ac,000043a2,0000394a
000024ab,0000725e,000042f7,00002c96
00002be6,00003116,00005804,00004822
00000bb2,00005083,00001356,000045d9
00001c01,00002b07,00004b5a,0000442c
000070da,00003195,000069ea,00004d63
00006765,00004366,0000071d,00002970
00001902,0000569b,00003cd6,00007930
00005df7,000029f0,00001bec,00007548
000067c0,000054ce,0000721f,00000f79
0000072a,00004756,00003bba,00003412
00004331,0000609c,00002ca8,00007dee
000042e3,00000b73,000035d8,0000751c
00007960,00005c33,0000046e,00007f24
000026ff,00001204,00004bcf,0000259b
000011c9,00000195,00004b61,00002cf2
000012aa,000072ed,00003353,000047a4
00000196,000041fb,00005bc2,00002e3b
000028ae,000070bd,00001320,00001631
00005d44,00006c0c,0000682a,0000104c
000037c8,00003c71,00002943,000036f9
00006da2,00007c21,00000e52,0000772e
00007be3,00005c87,000077e8,0000056a
000070bc,00006cce,00004d24,00005319
00007f46,00006fc8,00004474,000077dd
00000921,00005b5a,00006fba,00007f77
00006a40,00000f19,0000142b,00007f4d
00002bb7,00000d47,000022be,00003712
00002f81,00000553,00001ce2,0000123c
000060fe,00007a6d,0000600a,00003a20
0000608b,000031cf,00007cc8,000057f2
00003978,00002007,00001042,00005dbb
00002210,00007d59,00002253,0000124a
0000529e,00003dbd,00001442,00002828
000050ad,0000793d,0000146a,00000d76
00002ca5,00007875,00000e3d,0000516a
000054b0,0000216d,00007883,0000098c
000043f7,000008f7,00000a01,00004794
00006a5b,000014c0,0000387c,00004f18
0000513d,000011ec,00007b74,0000241c
000057de,00004128,000002e9,0000202a
00007909,00000e42,00001cf7,00002c6c
00004908,00003f54,00007937,000001b5
00007c20,00002c38,00003a5b,00001ed8
00007176,000045c6,00001abc,00007455
000053c9,0000299c,0000278e,000034c6
00007459,000060be,00007bff,00002b3d
00006fdb,0000692a,00003557,00001bda
00002019,000035f1,000016e4,00002ad4
000041d9,0000740b,00007d51,00006b04
00003ea1,00004c80,00007c83,000032e6
0000410d,00005783,0000484f,0000798e
00005f31,00005326,000002a1,0000161e
00002f0f,00004a0a,00005cd8,00006927
0000536c,00003f37,000009e1,000045fb
000037b2,00004066,00007fc0,000072d7
000000d8,00004615,000068fd,000040ac
00003763,00005c0e,0000005a,00003433
00005f33,00007c37,000070e8,00004c0c
00005301,000061eb,0000468e,00007fc3
00006fd1,00005f23,000028b4,00000236
00007e2c,00004656,00004546,00003401
0000325a,0000148e,00004565,00004a85
00004a85,00006058,000031a6,00002d87
00000784,00004fdd,00001c6c,00003081
00001f93,00005391,000049ea,00001144
00005456,00000e50,00000565,00004eff
00003211,00007765,000074e7,00001eae
000012d0,00005a6a,00004405,000030a9
000052f1,0000163c,00005fea,00001538
00005c8f,000005b8,00003cd8,00006ec7
00005dc5,00005def,00004c13,0000545d
